Item	Price	Quantity in Stock
====	=====	=================
item-0	51.99	42
item-1	21.99	88
item-2	43.99	112
item-3	9.99	10
item-4	15.99	95
item-5	39.99	125
item-6	25.99	125
item-7	56.99	117
item-8	28.99	162
item-9	37.99	184
item-10	47.99	177
item-11	29.99	138
item-12	44.99	40
item-13	2.99	40
item-14	48.99	51
item-15	55.99	74
item-16	18.99	77
item-17	25.99	99
item-18	42.99	22
item-19	42.99	189
item-20	59.99	175
item-21	39.99	110
item-22	42.99	34
item-23	7.99	19
item-24	45.99	45
item-25	36.99	59
item-26	29.99	17
item-27	12.99	182
item-28	20.99	178
item-29	38.99	116
item-30	60.99	93
item-31	30.99	153
item-32	53.99	86
item-33	40.99	200
item-34	1.99	90
item-35	30.99	156
item-36	36.99	165
item-37	22.99	86
item-38	21.99	124
item-39	60.99	29
item-40	6.99	150
item-41	7.99	26
item-42	10.99	37
item-43	7.99	92
item-44	46.99	59
item-45	27.99	25
item-46	1.99	56
item-47	4.99	113
item-48	6.99	17
item-49	41.99	144
item-50	21.99	88
item-51	47.99	189
item-52	55.99	141
item-53	59.99	85
item-54	24.99	117
item-55	59.99	156
item-56	37.99	179
item-57	53.99	18
item-58	22.99	102
item-59	4.99	164
item-60	14.99	75
item-61	13.99	79
item-62	18.99	136
item-63	43.99	195
item-64	24.99	182
item-65	48.99	53
item-66	3.99	157
item-67	55.99	77
item-68	54.99	113
item-69	31.99	173
item-70	40.99	176
item-71	31.99	116
item-72	31.99	181
item-73	19.99	35
item-74	31.99	137
item-75	14.99	32
item-76	55.99	158
item-77	24.99	140
item-78	56.99	90
item-79	26.99	82
item-80	26.99	70
item-81	34.99	47
item-82	50.99	52
item-83	53.99	147
item-84	7.99	198
item-85	53.99	114
item-86	51.99	136
item-87	42.99	139
item-88	16.99	32
item-89	58.99	24
item-90	26.99	29
item-91	36.99	119
item-92	28.99	67
item-93	56.99	19
item-94	52.99	115
item-95	49.99	172
item-96	39.99	106
item-97	57.99	93
item-98	1.99	194
item-99	60.99	27
item-100	50.99	173
item-101	44.99	168
item-102	60.99	107
item-103	6.99	126
item-104	54.99	106
item-105	34.99	165
item-106	38.99	72
item-107	31.99	122
item-108	46.99	66
item-109	54.99	140
item-110	50.99	176
item-111	5.99	163
item-112	55.99	96
item-113	32.99	30
item-114	21.99	61
item-115	8.99	33
item-116	34.99	15
item-117	48.99	24
item-118	16.99	80
item-119	12.99	70
item-120	56.99	68
item-121	30.99	146
item-122	42.99	163
item-123	31.99	192
item-124	34.99	162
item-125	8.99	113
item-126	44.99	137
item-127	1.99	52
item-128	22.99	200
item-129	5.99	24
item-130	20.99	56
item-131	57.99	142
item-132	20.99	185
item-133	1.99	188
item-134	11.99	80
item-135	55.99	94
item-136	40.99	134
item-137	57.99	83
item-138	53.99	10
item-139	17.99	73
item-140	45.99	173
item-141	60.99	32
item-142	5.99	155
item-143	20.99	90
item-144	30.99	75
item-145	28.99	94
item-146	20.99	198
item-147	55.99	123
item-148	24.99	135
item-149	17.99	111
item-150	26.99	6
item-151	27.99	55
item-152	40.99	48
item-153	26.99	171
item-154	48.99	51
item-155	57.99	160
item-156	41.99	109
item-157	28.99	63
item-158	14.99	181
item-159	27.99	62
item-160	33.99	156
item-161	6.99	162
item-162	43.99	167
item-163	55.99	22
item-164	18.99	150
item-165	22.99	46
item-166	53.99	174
item-167	40.99	174
item-168	42.99	101
item-169	51.99	190
item-170	15.99	111
item-171	12.99	158
item-172	2.99	115
item-173	27.99	179
item-174	43.99	27
item-175	9.99	119
item-176	9.99	198
item-177	6.99	124
item-178	52.99	178
item-179	16.99	9
item-180	36.99	105
item-181	44.99	150
item-182	30.99	139
item-183	60.99	58
item-184	28.99	39
item-185	12.99	143
item-186	53.99	188
item-187	31.99	88
item-188	47.99	79
item-189	20.99	136
item-190	41.99	163
item-191	55.99	132
item-192	29.99	136
item-193	59.99	64
item-194	58.99	75
item-195	47.99	71
item-196	6.99	59
item-197	24.99	193
item-198	35.99	159
item-199	14.99	182
item-200	40.99	112
item-201	46.99	43
item-202	29.99	168
item-203	39.99	11
item-204	58.99	156
item-205	53.99	67
item-206	47.99	193
item-207	5.99	192
item-208	2.99	55
item-209	20.99	45
item-210	24.99	164
item-211	24.99	182
item-212	42.99	157
item-213	22.99	122
item-214	53.99	58
item-215	42.99	126
item-216	54.99	104
item-217	47.99	85
item-218	12.99	131
item-219	16.99	63
item-220	33.99	21
item-221	27.99	94
item-222	35.99	21
item-223	53.99	193
item-224	24.99	26
item-225	48.99	26
item-226	12.99	45
item-227	14.99	115
item-228	12.99	184
item-229	38.99	21
